"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"2105 | MOD - GSM | Post Promotion- VDO | 2026",65+,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",47.18,942,1067,,812,,2,,,1048,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",65+,male,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",46.85,854,1334,,216,,46,,,1230,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",55-64,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",46.22,901,1143,,371,,72,,,1053,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",65+,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",35.19,763,907,,713,,2,,,895,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",18-24,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",32.45,553,636,,448,,,,,621,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",55-64,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",29.89,672,783,,267,,62,,1,713,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",25-34,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",22.61,426,500,,375,1,2,1,,484,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",65+,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",17.02,352,433,,129,,26,,,407,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",65+,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",16.95,335,390,,126,,26,,,367,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",18-24,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,16.89,210,253,2,3,,2,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",25-34,unknown,"การันตี ราคาตามจริง",16.14,66,182,4,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",25-34,unknown,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",14.39,71,96,,3,,3,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",45-54,unknown,"การันตี ราคาตามจริง",12.56,43,148,3,1,,1,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",18-24,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",11.63,221,264,,183,,,,,255,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",35-44,unknown,"การันตี ราคาตามจริง",11.38,49,125,5,1,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",18-24,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,10.83,246,296,1,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",45-54,female,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",10.26,174,230,,211,,,,,226,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",25-34,unknown,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",9.74,168,255,,76,,23,,,238,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",55-64,unknown,"การันตี ราคาตามจริง",7.4,38,106,,2,,2,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",35-44,unknown,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",6.37,45,57,,3,,3,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",25-34,unknown,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",6.12,93,148,,12,,6,,,139,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",45-54,male,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",5.46,169,194,,126,,,,,188,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",45-54,male,"เฮียหลอม สาขาพัทยาใต้ มายังไง! 3 - 30 June",5.08,168,179,,116,,,,,173,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",45-54,female,"เฮียหลอม สาขาพัทยาใต้ มายังไง! 3 - 30 June",5.05,120,137,,112,,2,,,135,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",35-44,unknown,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",5.04,259,305,,195,,1,,,303,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",35-44,female,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",4.97,89,113,,97,,,,,109,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",35-44,male,"เฮียหลอม สาขาพัทยาใต้ มายังไง! 3 - 30 June",4.86,158,181,,116,,,,,177,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",45-54,unknown,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",4.82,241,308,,225,,,,,305,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",35-44,male,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",4.8,142,164,,117,,,,,158,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",65+,unknown,"การันตี ราคาตามจริง",4.61,40,123,1,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",45-54,unknown,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",4.59,28,35,,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",25-34,unknown,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",4.37,237,283,,177,,1,,,280,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",3.68,354,547,,22,,,,,486,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",35-44,female,"เฮียหลอม สาขาพัทยาใต้ มายังไง! 3 - 30 June",3.43,76,85,,70,,,,,85,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",55-64,female,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",3.21,60,78,,70,,,,,77,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",3.17,250,456,,30,,,,,406,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",35-44,unknown,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",3.04,54,81,,28,,9,,,74,2026-06-01,2026-06-29
